ecdg_code,endstatus_admitted,endstatus_died,endstatus_left,endstatus_referred,arrival_ambulance,triage_1,triage_2,triage_3,triage_4,age_05_09,age_10_14,age_15_69,age_70_74,age_75_79,age_80_84,age_85+,admitted_age_0_14,admitted_age_80+,admitted_triage_1,admitted_triage_2,admitted_triage_3,admitted_triage_4
E2030,0.309,0.178,-0.082,0.264,0.392,1.072,0.671,0.328,0.143,0.04,0.12,0.258,0.319,0.348,0.395,0.439,-0.075,-0.061,-0.163,-0.102,0.017,0.126
E2040,0.237,0.18,-0.103,0.255,0.417,1.001,0.771,0.399,0.159,0.066,0.096,0.215,0.313,0.323,0.412,0.361,-0.081,-0.045,-0.14,-0.126,0.053,0.061
E2050,0.229,0.182,-0.085,0.354,0.423,1.03,0.732,0.448,0.213,0.06,0.082,0.196,0.321,0.34,0.403,0.375,-0.027,-0.044,-0.155,-0.084,0.024,0.101
E2060,0.273,0.175,-0.059,0.314,0.328,1.155,0.763,0.427,0.163,0.072,0.087,0.262,0.308,0.333,0.396,0.377,-0.111,-0.047,-0.122,-0.097,0.005,0.108
E2070,0.198,0.193,-0.228,0.289,0.265,1.037,0.531,0.292,0.186,0.003,0.045,0.185,0.365,0.344,0.406,0.375,-0.057,-0.047,-0.163,-0.049,-0.002,0.094
E2080,0.242,0.177,-0.011,0.295,0.342,1.01,0.572,0.364,0.159,0.022,0.066,0.295,0.324,0.329,0.405,0.368,0.01,-0.049,-0.177,-0.115,0.066,0.031
E5010,0.181,0.181,-0.158,0.189,0.215,1.02,0.719,0.512,0.214,0.005,0.063,0.27,0.355,0.334,0.401,0.411,-0.042,-0.039,-0.162,-0.078,-0.006,0.112
E5090,0.252,0.183,-0.242,0.366,0.222,1.065,0.735,0.495,0.258,0.059,0.079,0.191,0.329,0.378,0.417,0.377,-0.096,-0.045,-0.14,-0.03,-0.005,0.089
E6010,0.207,0.184,-0.094,0.306,0.589,1.076,0.832,0.579,0.326,0.086,0.083,0.148,0.308,0.339,0.403,0.428,-0.002,-0.052,-0.131,-0.08,0.01,0.116
E6020,0.228,0.191,0.058,0.341,0.696,1.046,0.626,0.323,0.215,0.067,0.075,0.161,0.314,0.331,0.398,0.386,0.028,-0.05,-0.158,-0.084,0.03,0.081
E6090,0.17,0.172,-0.03,0.352,0.635,1.101,0.819,0.513,0.282,0.113,0.062,0.141,0.276,0.324,0.396,0.355,0.032,-0.043,-0.133,-0.071,0.028,0.162
